GeneLabel,ReplacementLabel
orf786,orf786
orf787,orf787
orf78,orf78
orf79,orf79
orf798,orf798
orf80,orf80
orf810,orf810
orf_8,orf_8
orf81,orf81
orf819,orf819
orf82,orf82
orf823,orf823
orf826,orf826
orf829,orf829
orf83,orf83
orf833,orf833
orf839,orf839
orf843,orf843
orf84,orf84
orf849,orf849
orf85,orf85
orf854,orf854
orf857,orf857
orf85b,orf85b
orf861,orf861
orf862,orf862
orf86,orf86
orf86a,orf86a
orf86b,orf86b
orf872,orf872
orf87,orf87
orf88,orf88
orf8,orf8
orf892,orf892
orf89,orf89
orf90,orf90
orf_9,orf_9
orf915,orf915
orf91,orf91
orf920,orf920
orf92,orf92
orf932,orf932
orf93,orf93
orf94,orf94
orf95,orf95
orf96,orf96
orf9,orf9
orf97,orf97
orf974,orf974
orf98,orf98
orf98a,orf98a
orf99,orf99
orf-a,orf-a
orf-b,orf-b
orf-c,orf-c
orf-d,orf-d
orf-e,orf-e
orf-f,orf-f
pabj,psbj
pafi,pafi
pafii,pafii
pasi,psai
pasj,psaj
pbf1,psbn
pbsa,psba
pbsc,psbc
pbsz,psbz
pbt,psbt
pcb,psbb
pcbc,psbc
pcnb,pcnb
pcr,pcr
pcxa,pcxa
pdha,odpa
pdhb,odpb
pds,pds
pdxa,pdxa
pdxj,pdxj
pebt,pebt
pepp,pepp
peta,peta
petb',petb
petb2,petb
petb,petb
petc,petc
petd2,petd
petd,petd
pete,pete
petf,petf
petg,petg
peth,peth
petj,petj
petl,petl
petm,petm
petn,petn
petp,petp
petx,petx
pgi,pgi
pgk,pgk
pgma,pgma
pgsa,pgsa
phdd,phdd
phea,phea
phes,phes
phet,phet
phoh,phoh
plsx,plsx
pnp,pnp
ppa,ppa
ppib,ppib
prea,prea
prfa,prfa
prfb,prfb
prfc,prfc
pria,pria
primase,primase
prk,prk
proa,proa
prob,prob
pros,pros
prsa,prsa
psaa2,psaa
psaa,psaa
psab,psab
psac',psac
psac,psac
psad,psad
psae,psae
psaf,psaf
psai,psai
psaj,psaj
psak,psak
psal,psal
psam1,psam
psam2,psam
psam,psam
psb28,psb28
psb30,psb30
(-)psba,psaa
psba',psaa
psba_1,psaa
psba1,psaa
psba_2,psaa
psba2,psaa
psba,psba
psbb,psbb
psbc,psbc
psbd',psbd
psbd1,psbd
psbd,psbd
psbe,psbe
psbf,psbf
psbg,psbg
psbh,psbh
psbi,psbi
psbj',psbj
psbj,psbj
psbk,psbk
psbk-rpl20,psbk
psbl,psbl
psbm2,psbm
psbm,psbm
psbn,psbn
psbo,psbo
psbt',psbt
psbt,psbt
psbu,psbu
psbv_2,psbv
psbv,psbv
psbw,psbw
psbx,psbx
psby',psby
psby,psby
psbz,psbz
psbz-lhba,psbz
psi,psbb
psi_psbt,psbb
psj,psaj
pura,pura
purh,purh
pxca,pxca
pykf,pykf
pyrb,pyrb
pyrc,pyrc
pyrd,pyrd
pyre,pyre
pyrf,pyrf
pyrg,pyrg
pyrh,pyrh
pys,pys
qps8,qps8
quea,quea
rada,rada
rbcl2,rbcl
rbcl29,rbcl
rbcl,rbcl
rbcr',rbcr
rbcr,rbcr
rbcs,rbcs
rbpa,rbpa
rbra,rbra
reca,reca
recf,recf
reco,reco
recr,recr
rimi,rimi
rlud,rlud
rnb,rnb
rnc,rnc
rne,rne
rnz,rnz
roaa,roaa
ropb,rpob
ropc1,rpoc1
ros12,rps12
rp3,rps3
rpcb,cpcb
rpea,cpea
rpeb,cpeb
rpia,rpia
rpl11,rpl11
rpl1,rpl1
rpl12,rpl12
rpl13,rpl13
rpl14,rpl14
rpl15,rpl15
rpl16,rpl16
rpl17,rpl17
rpl18,rpl18
rpl19,rpl19
rpl19-atpa,atpa
rpl20,rpl20
rpl21',rpl21
rpl21_1,rpl21
rpl21_2,rpl21
rpl21,rpl21
rpl22',rpl22
rpl22,rpl22
rpl23,rpl23
rpl24,rpl24
rpl27',rpl27
rpl27,rpl27
rpl2,rpl2
rpl28,rpl28
rpl29,rpl29
rpl31,rpl31
rpl_32,rpl32
rpl32_1,rpl32
rpl32',rpl32
rpl32_2,rpl32
rpl3,rpl3
rpl32,rpl32
rpl33,rpl33
rpl336,rpl36
rpl34',rpl34
rpl34,rpl34
rpl35,rpl35
rpl_36,rpl36
rpl36,rpl36
rpl4,rpl4
rpl_5,rpl5
rpl5,rpl5
rpl6,rpl6
rpl7-12,rpl12
rpl7-rpl12,rpl12
rpl9,rpl9
rplb,rpl2
rple,rpl5
rplf,rpl6
rpli,rpl9
rplj,rpl10
rpll,rpl12
rplm,rpl13
rpln,rpl14
rpls,rpl19
rplt,rpl20
rplw,rpl23
rplx,rpl24
rpma,rpma
rpmi,rpmi
rpmj,rpmj
rpo,rpo
rpoa,rpoa
rpob-1,rpob
rpob-2,rpob
rpob.2,rpob
rpob,rpob
rpob-a,rpob
rpoba,rpob
rpobb,rpob
rpoc1,rpoc1
rpoc1a,rpoc1
rpoc1b,rpoc1
rpoc2.1,rpoc2
rpoc2.2,rpoc2
rpoc2,rpoc2
rpoc2a,rpoc2
rpoc2b,rpoc2
rpoc,rpoc
rpod,rpod
rpodi,rpod
rpoz,rpoz
rps,rps
rps10,rps10
rps11,rps11
rps1,rps1
rps12_3'_end,rps12
rps12_3end,rps12
rps12,rps12
rps12b,rps12
rps13,rps13
rps_14,rps14
rps14,rps14
rps15,rps15
rps16',rps16
rps16,rps16
rps17,rps17
rps18,rps18
rps19,rps19
rps20,rps20
rps21,rps21
rps2,rps2
rps2a,rps2
rps2b,rps2
rps3,rps3
rps36,rps36
rps4',rps4
rps4,rps4
rps4a,rps4
rps4b,rps4
rps5,rps5
rps6,rps6
rps7,rps7
rps8.1,rps8
rps8.2,rps8
rps8,rps8
rps9,rps9
rpsb,rps2
rpsc,rps3
rpsd,rps4
rpse,rps5
rpsg,rps7
rpsh,rps8
rpsk,rps11
rpsl,rps12
rpsn,rps14
rpsr,rps18
rpss,rps19
rpst,rps20
rrl,rrl
rrs,rrs
rs14,rps14
rt,rt
ruva,ruva
ruvb,ruvb
rvt,rvt
rvt_n,rvt_n
seca',seca
seca,seca
sece,sece
secg,secg
secy,secy
sepf,sepf
serc,serc
serc1,serc1
serc2,serc2
sers,sers
sir,sir
smpb,smpb
sodb,sodb
spea,spea
spou,spou
sppa,sppa
sqdb,sqdb
sqdx,sqdx
ssb,ssb
sufb,sufb
sufbn,sufb
sufc,sufc
syfb,syfb
syh,syh
tatc,tatc
tctd,tctd
tgt,tgt
thdf,thdf
thig,thig
this,thrb
thrb,thrc
thrc,thrs
thrs,tic214
tic214,tig
tig,tig
tils,tils
tilsa,tilsa
tilsb,tilsb
topa,topa
tpi,tpi
trg1,trg1
trmd,trmd
trme,trme
trmh,trmh
trnd,trnd
trni-gau,trni-gau
trnk,trnk
trnm,trnm
trnq,trnq
trnr,trnr
trns,trns
trpa,trpa
trpe,trpe
trpg,trpg
trps,trps
trua,trua
trub,trub
trxa,trxa
trxm,trxm
tsf,tsf
tsg1,tsg1
tuf,tufa
tufa,tufa
tyra,tyra
tyrc,tyrc
tyrs,tyrs
ubia,ubia
ubih,ubih
ubix,ubix
upp,upp
urf-1,urf-1
urf-2,urf-2
vals,vals
yadh,yadh
yc15,yc15
yc2,ycf2
ycf10,cema
ycf10(cema),cema
ycf10-cema,cema
ycf1-1,ycf1
ycf1-2,ycf1
ycf12_1,ycf12
ycf12_2,ycf12
ycf12,ycf12
ycf13,ycf13
ycf1,ycf1
ycf15,ycf15
ycf16,ycf16
ycf17,ycf17
ycf1_79a,ycf1
ycf1_79b,ycf1
ycf1_80,ycf1
ycf18,ycf18
ycf19,ycf19
ycf1a,ycf1
ycf1b,ycf1
ycf1-fragment,ycf1
ycf1-like,ycf1
ycf20,ycf20
ycf21,ycf21
ycf22,ycf22
ycf23,ycf23
ycf24,ycf24
ycf26,ycf26
ycf2,ycf2
ycf27,ycf27
ycf28,ycf28
ycf29,ycf29
ycf2c,ycf2
ycf2n,ycf2
ycf30,ycf30
ycf3],ycf3
ycf31,ycf31
ycf32,ycf32
ycf33,ycf33
ycf34,ycf34
ycf3,ycf3
ycf35',ycf35
ycf35,ycf35
ycf36,ycf36
ycf37,ycf37
ycf38,ycf38
ycf39,ycf39
ycf40,ycf40
ycf41,ycf41
ycf42,ycf42
ycf43,ycf43
ycf4,ycf4
ycf44,ycf44
ycf_(45),ycf45
ycf45,ycf45
ycf46',ycf46
ycf46,ycf46
ycf47,ycf47
ycf48,ycf48
ycf49,ycf49
ycf51,ycf51
ycf52,ycf52
ycf53,ycf53
ycf5,ycf5
ycf54,ycf54
ycf55,ycf55
ycf56,ycf56
ycf57,ycf57
ycf58,ycf58
ycf59,ycf59
ycf60,ycf60
ycf61,ycf61
ycf62,ycf62
ycf62a,ycf62a
ycf62b,ycf62b
ycf6,ycf6
ycf63,ycf63
ycf64,ycf64
ycf65,ycf65
ycf66,ycf66
ycf67,ycf67
ycf68,ycf68
ycf7,ycf7
ycf73,ycf73
ycf78,ycf78
ycf80,ycf80
ycf81,ycf81
ycf82,ycf82
ycf83,ycf83
